Temperatura,Cv
1.0,3.0917833257126776e-06
1.1,4.950213142776054e-06
1.2000000000000002,7.861115344883143e-06
1.3000000000000003,1.2918466534813994e-05
1.4000000000000004,1.750205761316931e-05
1.5000000000000004,2.4941986919336308e-05
1.6000000000000005,3.422974372713873e-05
1.7000000000000006,4.2523050931659626e-05
1.8000000000000007,5.5516150165299203e-05
1.9000000000000008,6.788495901027494e-05
2.000000000000001,9.086658056697459e-05
2.100000000000001,0.00011018878656639663
2.200000000000001,0.00013426725404687843
2.300000000000001,0.00020532269020497374
2.4000000000000012,0.00016284881571859803
2.5000000000000013,0.00010962188119123923
2.6000000000000014,8.15453080827641e-05
2.7000000000000015,7.793313487083558e-05
2.8000000000000016,6.448919240627604e-05
2.9000000000000017,5.4724505497755104e-05
3.0000000000000018,4.719682026114196e-05
3.100000000000002,4.3465994774726275e-05
3.200000000000002,4.038284538847224e-05
3.300000000000002,3.581526968287799e-05
3.400000000000002,3.431032791018123e-05
3.500000000000002,2.9964053015812646e-05
3.6000000000000023,2.967246936160547e-05
3.7000000000000024,2.516906850572227e-05
3.8000000000000025,2.43262342871368e-05
3.9000000000000026,2.2719304943914684e-05
4.000000000000003,2.1513001520348818e-05
4.100000000000003,2.0206276774201396e-05
4.200000000000003,1.8421734059675904e-05
4.3000000000000025,1.788151874380651e-05
4.400000000000003,1.7213533183812015e-05
4.5000000000000036,1.5031699548962432e-05
4.600000000000003,1.5011852128447215e-05
4.700000000000003,1.4050178642484887e-05
4.800000000000003,1.3571164178796613e-05
4.900000000000004,1.3000230994033762e-05
