Temperatura,Cv
1.0,1.4581066408924776e-05
1.01,1.5657948809888353e-05
1.02,1.6578112765183235e-05
1.03,1.774407408166607e-05
1.04,1.9391526370933915e-05
1.05,1.984749527950565e-05
1.06,2.1350269924836403e-05
1.07,2.1881595533227827e-05
1.08,2.3589582959565936e-05
1.09,2.4245671972252194e-05
1.1,2.5707871362334412e-05
1.11,2.7591056146128945e-05
1.12,2.8696966573069953e-05
1.1300000000000001,2.9768108830941404e-05
1.1400000000000001,3.159360471527175e-05
1.1500000000000001,3.302569814111403e-05
1.1600000000000001,3.597013728557455e-05
1.1700000000000002,3.635726084446212e-05
1.1800000000000002,3.8340246342752534e-05
1.1900000000000002,3.928159572643427e-05
1.2000000000000002,4.2300126189550994e-05
1.2100000000000002,4.382638328851226e-05
1.2200000000000002,4.558838689607384e-05
1.2300000000000002,4.792536110369685e-05
1.2400000000000002,4.9100873439581425e-05
1.2500000000000002,5.282024818619213e-05
1.2600000000000002,5.404803137249994e-05
1.2700000000000002,5.5092810094592414e-05
1.2800000000000002,5.750650195058976e-05
1.2900000000000003,6.135340742400672e-05
1.3000000000000003,6.400382225798657e-05
1.3100000000000003,6.424771664766756e-05
1.3200000000000003,6.774676695090338e-05
1.3300000000000003,6.973163119763058e-05
1.3400000000000003,7.279120319941398e-05
1.3500000000000003,7.541267276020986e-05
1.3600000000000003,7.845571002053598e-05
1.3700000000000003,8.092403718439979e-05
1.3800000000000003,8.574958234020645e-05
1.3900000000000003,8.773770410289524e-05
1.4000000000000004,9.089961744082277e-05
1.4100000000000004,9.26752580230708e-05
1.4200000000000004,9.572295575308136e-05
1.4300000000000004,0.00010024907585044833
1.4400000000000004,9.977179345080596e-05
1.4500000000000004,0.00010471197605446985
1.4600000000000004,0.00010665413229786743
1.4700000000000004,0.00011013612119143775
1.4800000000000004,0.00011698995054808893
1.4900000000000004,0.00011677447624878659
1.5000000000000004,0.0001215599456959165
1.5100000000000005,0.0001279159668818366
1.5200000000000005,0.00012963191163484593
1.5300000000000005,0.00013432352130106213
1.5400000000000005,0.00013803205828112839
1.5500000000000005,0.0001425798958035412
1.5600000000000005,0.00014458706394010907
1.5700000000000005,0.00015404813553482533
1.5800000000000005,0.00016047923502318848
1.5900000000000005,0.00015836802669187051
1.6000000000000005,0.00016521522289113214
1.6100000000000005,0.00017035288800475444
1.6200000000000006,0.00017587094201776968
1.6300000000000006,0.0001785356844207467
1.6400000000000006,0.00018204724095003368
1.6500000000000006,0.00019065812075637502
1.6600000000000006,0.00018879797658398438
1.6700000000000006,0.0001986606193684702
1.6800000000000006,0.00020145267487412644
1.6900000000000006,0.00020264602045452535
1.7000000000000006,0.00021741061186390963
1.7100000000000006,0.00021645124138340574
1.7200000000000006,0.00022359198428180524
1.7300000000000006,0.00022954476347647023
1.7400000000000007,0.00023596906209648265
1.7500000000000007,0.00024351423070351376
1.7600000000000007,0.0002465518940809948
1.7700000000000007,0.0002499236321343168
1.7800000000000007,0.00025874166773328164
1.7900000000000007,0.00026361403913116387
1.8000000000000007,0.0002740839047105625
1.8100000000000007,0.000278245030734665
1.8200000000000007,0.0002911151639096517
1.8300000000000007,0.0003004286471253277
1.8400000000000007,0.0003014499941356629
1.8500000000000008,0.00030798690849974066
1.8600000000000008,0.0003219896363866693
1.8700000000000008,0.00031892631625145257
1.8800000000000008,0.00033253505720314013
1.8900000000000008,0.0003441385538934621
1.9000000000000008,0.0003558585251789809
1.9100000000000008,0.0003596508480816462
1.9200000000000008,0.0003690095975509167
1.9300000000000008,0.00036907901351262913
1.9400000000000008,0.0003834980626049532
1.9500000000000008,0.0003981104521427993
1.9600000000000009,0.0004085371132168272
1.9700000000000009,0.0004332319194298625
1.9800000000000009,0.00042022988349308034
1.9900000000000009,0.0004344152989912129
2.000000000000001,0.00045394669118602947
2.0100000000000007,0.00045560068323318906
2.020000000000001,0.00047140285179413994
2.030000000000001,0.0004871825771588593
2.040000000000001,0.0005093604701137624
2.0500000000000007,0.0005222079263569762
2.060000000000001,0.0005345717449271416
2.070000000000001,0.0005594174443592344
2.080000000000001,0.0005668309213594151
2.0900000000000007,0.0005961084242327716
2.100000000000001,0.0006279172785046928
2.110000000000001,0.0006254074452374707
2.120000000000001,0.0006442625359236195
2.130000000000001,0.0006565670916382243
2.140000000000001,0.0006724249660431753
2.1500000000000012,0.0006869128039598127
2.160000000000001,0.0007054754792483473
2.170000000000001,0.0007161340200601425
2.180000000000001,0.0008393822144349534
2.1900000000000013,0.000800162771692372
2.200000000000001,0.0008427595918039779
2.210000000000001,0.0010098392426912389
2.220000000000001,0.0010942099159158224
2.2300000000000013,0.0010754331386550258
2.240000000000001,0.0012018125115112945
2.250000000000001,0.0011425626242305997
2.260000000000001,0.0011806230897205832
2.2700000000000014,0.0011337901574280103
2.280000000000001,0.0011672834612518343
2.290000000000001,0.0012406197673743694
2.300000000000001,0.0012125580105179312
2.3100000000000014,0.001205830423139811
2.320000000000001,0.001156770596809994
2.330000000000001,0.0011328793366911273
2.340000000000001,0.0010648198136427739
2.3500000000000014,0.0009614374305516123
2.360000000000001,0.0009392211980335639
2.370000000000001,0.0009535184932849276
2.3800000000000012,0.0008071991480520612
2.3900000000000015,0.0008253752122986391
2.4000000000000012,0.0007030283283621575
2.410000000000001,0.000717427141987568
2.4200000000000013,0.0007167207690864174
2.4300000000000015,0.0006992838516371345
2.4400000000000013,0.0006660634957086273
2.450000000000001,0.0006627632281279985
2.4600000000000013,0.0006093324695368883
2.4700000000000015,0.0005509255804061384
2.4800000000000013,0.0005740081276180437
2.490000000000001,0.0005694148504493064
2.5000000000000013,0.0005391994095338092
2.5100000000000016,0.0005267839987616771
2.5200000000000014,0.0005218907195466167
2.530000000000001,0.0005153271907642655
2.5400000000000014,0.00048199134367371094
2.5500000000000016,0.0004857820438356557
2.5600000000000014,0.0004777145281487011
2.570000000000001,0.0004639208049889655
2.5800000000000014,0.00047823408904217485
2.5900000000000016,0.0004593010012612901
2.6000000000000014,0.0004396757245193823
2.610000000000001,0.0004357315255985787
2.6200000000000014,0.00042043956811870723
2.6300000000000017,0.0004050283966613442
2.6400000000000015,0.00041200561653674024
2.6500000000000012,0.00040965409474517505
2.6600000000000015,0.0004010185990208292
2.6700000000000017,0.0003878883054069819
2.6800000000000015,0.00038032332239161466
2.6900000000000013,0.0003774925366149869
2.7000000000000015,0.0003695642678970212
2.7100000000000017,0.0003706519209627915
2.7200000000000015,0.0003658268009499973
2.7300000000000013,0.0003545434377517235
2.7400000000000015,0.0003520842550974027
2.7500000000000018,0.000347703856183977
2.7600000000000016,0.00033798287675671374
2.7700000000000014,0.000335560327131725
2.7800000000000016,0.00033970169928179206
2.790000000000002,0.0003246999898324509
2.8000000000000016,0.000316218632635339
2.8100000000000014,0.00032175482390854403
2.8200000000000016,0.00031700304760822395
2.830000000000002,0.00030843351796081204
2.8400000000000016,0.0003058658962726652
2.8500000000000014,0.0003130215509880361
2.8600000000000017,0.0002969297480169603
2.870000000000002,0.00030042798877297433
2.8800000000000017,0.00028609741260557386
2.8900000000000015,0.000281798910175898
2.9000000000000017,0.0002832280117201124
2.910000000000002,0.00028121083441306517
2.9200000000000017,0.0002790055734860612
2.9300000000000015,0.0002612930458192574
2.9400000000000017,0.00027545269591751885
2.950000000000002,0.0002691669063904951
2.9600000000000017,0.0002621686005509206
2.9700000000000015,0.0002579853465278098
2.9800000000000018,0.0002562445595512731
2.990000000000002,0.00025246225551923875
